time_s,G_ratio,Lambda_ratio
1e-44,1.049999950000025,1.099999999
1.1489510001873063e-44,1.049999942552483,1.099999998851049
1.3200884008314112e-44,1.0499999339956236,1.0999999986799116
1.5167168884709117e-44,1.049999924164213,1.0999999984832831
1.7426333860096616e-44,1.0499999128684065,1.0999999982573667
2.0022003718155926e-44,1.0499998998900817,1.0999999979977997
2.3004301197729217e-44,1.0499998849786263,1.09999999769957
2.643081486974103e-44,1.0499998678461002,1.0999999973569186
3.036771118035448e-44,1.0499998481616746,1.099999996963229
3.489101213406752e-44,1.0499998255452436,1.0999999965108989
4.008806328898497e-44,1.0499997995600854,1.0999999959911937
4.605922041145132e-44,1.0499997697044283,1.099999995394078
5.291978735958458e-44,1.0499997354017634,1.0999999947080215
6.080224261649427e-44,1.049999695989711,1.099999993919776
6.985879746785235e-44,1.0499996507072327,1.0999999930141204
8.026433522257141e-44,1.0499995986799344,1.0999999919735668
9.221978823334265e-44,1.0499995389031849,1.0999999907780216
1.0595601792776234e-43,1.0499994702227171,1.0999999894043988
1.217382727739667e-43,1.049999391312341,1.0999999878261735
1.3987131026472416e-43,1.0499993006483397,1.09999998601287
1.6070528182616386e-43,1.0499991964800475,1.0999999839294732
1.846424942895539e-43,1.0499990767960516,1.0999999815357522
2.121451784910619e-43,1.0499989392853588,1.0999999787854844
2.4374441501222016e-43,1.0499987812927776,1.0999999756255614
2.800503894183648e-43,1.0499985997676597,1.099999971994965
3.2176417502507485e-43,1.0499983912050077,1.0999999678235877
3.6969127071950324e-43,1.0499981515778138,1.0999999630308799
4.247571552536894e-43,1.0499978762593278,1.0999999575242936
4.880251583654413e-43,1.0499975599337494,1.099999951197496
5.607169938205423e-43,1.0499971964936303,1.0999999439283163
6.442363508721318e-43,1.0499967789220035,1.0999999355763856
7.401959996915682e-43,1.0499962991569707,1.0999999259804274
8.504489341802703e-43,1.04999574793614,1.0999999149551427
9.771241535346502e-43,1.0499951146179174,1.0999999022876323
1.1226677735108114e-42,1.0499943869762163,1.0999998877332857
1.2898902612533028e-42,1.04999355096463,1.099999871011057
1.482020705798848e-42,1.0499925904455403,1.0999998517980392
1.7027691722259117e-42,1.0499914868789535,1.0999998297232279
1.956398343517073e-42,1.0499902189650936,1.099999804360357
2.2478058335487298e-42,1.0499887622338955,1.0999997752196693
2.5826187606826747e-42,1.049987088573533,1.0999997417384575
2.96730240818886e-42,1.0499851656889623,1.0999997032701994
3.409285069746794e-42,1.0499829564801273,1.0999996590720742
3.917101490809229e-42,1.0499804183279662,1.099999608290618
4.500557675700525e-42,1.0499775022746167,1.0999995499452453
5.1709202428967764e-42,1.0499741520822374,1.0999994829093127
5.94113398496504e-42,1.0499703031525962,1.0999994058883664
6.82607183427238e-42,1.0499658812869928,1.0999993173951463
7.84282206133765e-42,1.0499608012631385,1.0999992157208693
9.011018251664963e-42,1.0499549652022582,1.0999990989022348
1.03532184329567e-41,1.0499482606958725,1.0999989646835162
1.1895340673703257e-41,1.0499405586573916,1.0999988104730076
1.36671635646201e-41,1.0499317108587498,1.099998633292983
1.5702901247293774e-41,1.0499215471067862,1.0999984297222043
1.804186409392068e-41,1.0499098720078275,1.099998195829866
2.0729217795953614e-41,1.0498964612619484,1.0999979270997053
2.381685551976141e-41,1.049881057420537,1.09999761834281
2.736439997074689e-41,1.0498633650321032,1.099997263597443
3.144035471591513e-41,1.0498430450916112,1.0999968560139526
3.612342699709438e-41,1.0498197086980507,1.0999963877225447
