time_s,Z_value,Phase
1e-38,-150977699296.19626,Inflation
2.009233002565054e-38,-122226965785.61784,Inflation
4.0370172585965825e-38,-79981669179.76234,Inflation
8.111308307896822e-38,-33863199943.255226,Inflation
1.6297508346206401e-37,-6049094245.370629,Inflation
3.2745491628777315e-37,-184354069.30993336,Inflation
6.579332246575709e-37,-137026.6591419247,Inflation
1.3219411484660395e-36,0.19665274711990513,Frozen
2.656087782946673e-36,7.977331110594008e-13,Frozen
5.336699231206302e-36,-4.857261102879381e-28,Frozen
